D_TRA1_1_SPOT,D_TRA1_CASE,D_TRA1_SMONTH,D_TRA1_SDAY,D_TRA1_EMONTH,D_TRA1_EDAY,D_TRA1_S_Day,D_TRA1_COST,D_TRA1_NUM,D_TRA1_ONE_COST,A1_1,A4_1,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A5_15,A5_16,A5_17,A5_18,A5_19,A5_20,A5_21,A7,A7B_1,A7B_2,A7B_3,A7B_4,A7B_5,A7B_6,A7B_7,A9,NA9,BSEX,BAGE,SAGE,BEDU,BFAM,total
33020.0,57.0,382.0,847.0,382.0,864.0,17.0,10461000.0,151.0,4168833.0,94,368,50.0,72.0,6.0,16.0,10.0,222.0,70.0,8.0,0.0,0.0,0.0,0.0,26.0,0.0,45.0,32.0,17.0,36.0,0.0,0.0,0.0,225,28.0,4.0,63.0,8.0,30.0,0.0,0.0,10803504,3910250,89,226,2521,195,136,13
29010.0,56.0,404.0,779.0,404.0,785.0,6.0,5808000.0,148.0,2255500.0,81,307,46.0,48.0,0.0,4.0,50.0,192.0,0.0,24.0,9.0,0.0,11.0,24.0,0.0,0.0,0.0,0.0,17.0,72.0,0.0,20.0,0.0,165,31.0,2.0,69.0,0.0,0.0,0.0,0.0,5481998,2040250,86,180,2091,204,151,12
11010.0,56.0,306.0,865.0,306.0,877.0,12.0,8151900.0,107.0,5421565.0,188,223,20.0,58.0,9.0,52.0,10.0,126.0,0.0,120.0,45.0,0.0,0.0,12.0,0.0,0.0,210.0,16.0,51.0,72.0,0.0,0.0,0.0,149,9.0,0.0,135.0,4.0,0.0,0.0,0.0,8150198,4695616,82,146,1759,202,150,8
21310.0,56.0,364.0,846.0,364.0,866.0,20.0,13948000.0,135.0,6681167.0,71,293,41.0,76.0,6.0,8.0,5.0,186.0,7.0,64.0,0.0,0.0,11.0,0.0,39.0,0.0,45.0,48.0,0.0,54.0,0.0,0.0,63.0,172,27.0,2.0,60.0,16.0,15.0,0.0,0.0,14861503,6260751,82,205,2295,203,149,12
26310.0,55.0,360.0,718.0,349.0,701.0,14.0,8156250.0,154.0,3359416.0,59,244,45.0,36.0,9.0,4.0,0.0,204.0,28.0,0.0,18.0,0.0,11.0,0.0,26.0,0.0,15.0,48.0,17.0,72.0,0.0,0.0,21.0,175,24.0,6.0,63.0,8.0,15.0,0.0,0.0,7785606,2789527,80,227,2516,187,137,15
36480.0,54.0,364.0,687.0,365.0,681.0,24.0,13110000.0,137.0,5691833.0,60,272,51.0,78.0,3.0,8.0,5.0,228.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,32.0,17.0,108.0,0.0,0.0,21.0,170,30.0,0.0,60.0,8.0,10.0,0.0,0.0,13209599,4953433,78,209,2353,191,135,23
36460.0,54.0,354.0,817.0,354.0,852.0,35.0,12937000.0,119.0,6773333.0,74,250,51.0,80.0,3.0,8.0,10.0,264.0,0.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,15.0,64.0,0.0,144.0,0.0,0.0,0.0,194,36.0,6.0,51.0,0.0,5.0,0.0,0.0,13631909,6496428,89,209,2351,193,140,27
37350.0,54.0,376.0,776.0,376.0,790.0,14.0,13230000.0,171.0,4157502.0,66,294,48.0,70.0,6.0,0.0,0.0,222.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,216,33.0,2.0,60.0,0.0,10.0,0.0,0.0,12180210,4104445,78,213,2355,194,127,10
33040.0,53.0,364.0,980.0,364.0,993.0,13.0,7901200.0,110.0,4464533.0,84,256,36.0,60.0,6.0,12.0,0.0,162.0,7.0,88.0,9.0,0.0,11.0,12.0,0.0,0.0,60.0,0.0,0.0,108.0,0.0,0.0,0.0,170,25.0,2.0,78.0,4.0,5.0,0.0,0.0,8170700,4101200,84,204,2281,184,134,12
36320.0,53.0,319.0,853.0,319.0,872.0,19.0,12315000.0,147.0,4582500.0,74,223,41.0,54.0,6.0,12.0,10.0,228.0,0.0,16.0,0.0,0.0,55.0,0.0,0.0,0.0,75.0,32.0,0.0,54.0,0.0,20.0,0.0,169,29.0,2.0,60.0,4.0,10.0,0.0,0.0,11952820,4142840,78,189,2140,184,132,23
31010.0,53.0,338.0,807.0,338.0,814.0,7.0,7118000.0,127.0,3602166.0,86,267,39.0,58.0,9.0,44.0,5.0,162.0,0.0,16.0,9.0,10.0,11.0,12.0,0.0,0.0,15.0,16.0,17.0,54.0,0.0,0.0,0.0,156,27.0,4.0,57.0,0.0,10.0,0.0,0.0,7220108,3521136,82,217,2424,182,136,9
35040.0,53.0,425.0,668.0,425.0,677.0,9.0,9260000.0,137.0,3977167.0,53,236,50.0,72.0,6.0,24.0,0.0,114.0,0.0,32.0,18.0,0.0,11.0,0.0,26.0,0.0,60.0,32.0,0.0,108.0,0.0,0.0,21.0,167,31.0,2.0,63.0,0.0,5.0,0.0,0.0,9972398,3886691,81,213,2396,189,128,28
33320.0,52.0,377.0,803.0,377.0,816.0,13.0,8015000.0,133.0,3420834.0,75,282,51.0,52.0,12.0,44.0,5.0,210.0,7.0,24.0,18.0,0.0,11.0,12.0,65.0,0.0,45.0,16.0,17.0,36.0,0.0,0.0,0.0,167,29.0,0.0,54.0,4.0,15.0,0.0,0.0,7640501,3153792,80,210,2350,183,135,14
32310.0,52.0,311.0,756.0,311.0,804.0,48.0,19028000.0,153.0,7468168.0,67,282,42.0,38.0,24.0,0.0,40.0,246.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,183,26.0,8.0,78.0,4.0,0.0,0.0,0.0,19260009,6887753,80,188,2106,190,136,15
36400.0,50.0,319.0,802.0,320.0,795.0,24.0,11730000.0,124.0,6066416.0,69,250,45.0,64.0,15.0,16.0,20.0,198.0,7.0,32.0,54.0,0.0,22.0,24.0,52.0,0.0,75.0,16.0,102.0,90.0,0.0,0.0,21.0,155,28.0,6.0,57.0,4.0,5.0,0.0,0.0,12273803,5365401,70,180,2058,178,123,24
34050.0,50.0,326.0,820.0,326.0,840.0,20.0,12357000.0,153.0,4758880.0,56,284,42.0,74.0,3.0,56.0,0.0,156.0,7.0,16.0,0.0,0.0,11.0,0.0,26.0,0.0,45.0,16.0,34.0,54.0,0.0,0.0,21.0,184,30.0,2.0,54.0,0.0,5.0,0.0,0.0,12077520,4452514,70,186,2082,181,126,13
